가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재년도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
안청로,37.014936,126.915019,37.032815,126.909355,튤립나무,266,1825,,도로 좌우쪽으로 튤립나무나무가 심겨져 있어 아름다운 경관 연출,안청로,,현화교차로~수촌 버스정류장,031-8024-8482,안중출장소 건축녹지과,2019-04-01
안청로2길,37.017467,126.915947,37.021832,126.914957,이팝+왕벚,317,2280,,도로 좌우쪽으로 이팝+왕벚나무가 심겨져 있어 아름다운 경관 연출,안청로2길,,본죽 평택청북점~새터근린공원,031-8024-8482,안중출장소 건축녹지과,2019-04-01
청북남로,37.023303,126.943084,37.022794,126.907918,왕벚+은행+느티+이팝,1001,4125,,도로 좌우쪽으로 왕벚+은행+느티+이팝나무가 심겨져 있어 아름다운 경관 연출,청북남로,,평택 청북읍 후사리 373-6~평택 청북읍 옥길리 1201,031-8024-8482,안중출장소 건축녹지과,2019-04-01
청원로,37.010188,127.091609,37.039756,126.934249,왕벚+은행,569,4400,,도로 좌우쪽으로 왕벚+은행나무가 심겨져 있어 아름다운 경관 연출,청원로,,건성1교~현대아파트 사거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01
청오로,37.033855,126.959688,37.031926,126.958202,은행,23,300,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,청오로,,가자을~토진리417-12,031-8024-8482,안중출장소 건축녹지과,2019-04-01
강변로,36.981792,126.960289,37.017376,127.01606,왕벚,2008,13097,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,강변로,,평택 안중읍 대반리 751~평택 안중읍 안중리 산 73-1,031-8024-8482,안중출장소 건축녹지과,2019-04-01
숙성시장길,37.008149,126.978886,37.009609,126.988246,왕벚,10,62,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,숙성시장길,,오성초등학교~숙성리 228-2,031-8024-8482,안중출장소 건축녹지과,2019-04-01
용성길,37.004822,126.961384,37.006428,126.953817,은행,80,515,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,용성길,,남원 논두렁추어탕~평택 안중읍 용성리 507-4,031-8024-8482,안중출장소 건축녹지과,2019-04-01
봉담택지보행자도로,37.218056,126.955833,37.218611,126.956944,청단풍,51,0.2,,청단풍,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.218056,126.955833,37.218611,126.956944,대추나무,38,0.2,,대추나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.218056,126.955833,37.218611,126.956944,산딸나무,166,0.2,,산딸나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.218056,126.955833,37.218611,126.956944,소나무,7,0.2,,소나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.218056,126.955833,37.218611,126.956944,벚나무,53,0.2,,벚나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.218056,126.955833,37.218611,126.956944,은행나무,3,0.2,,은행나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.218056,126.955833,37.218611,126.956944,청단풍,35,0.2,,청단풍,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211667,126.961389,느티나무,16,0.2,,느티나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211667,126.961389,산딸나무,24,0.2,,산딸나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211667,126.961389,소나무,4,0.2,,소나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211667,126.961389,청단풍,31,0.2,,청단풍,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211667,126.961389,칠엽수,9,0.2,,칠엽수,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211389,126.960833,느티나무,17,0.2,,느티나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211389,126.960833,말채나무,13,0.2,,말채나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211389,126.960833,산딸나무,25,0.2,,산딸나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211389,126.960833,스트로브잣나무,70,0.2,,스트로브잣나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211389,126.960833,청단풍,22,0.2,,청단풍,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.21551361,126.961111,37.211389,126.960833,칠엽수,21,0.2,,칠엽수,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.214167,126.961111,37.214722,126.962222,모과나무,20,0.2,,모과나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.214167,126.961111,37.214722,126.962222,산딸나무,54,0.2,,산딸나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.214167,126.961111,37.214722,126.962222,살구나무,6,0.2,,살구나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.214167,126.961111,37.214722,126.962222,벚나무,15,0.2,,벚나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.214444,126.962222,37.213333,126.961389,모과나무,20,0.1,,모과나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.214444,126.962222,37.213333,126.961389,산딸나무,35,0.1,,산딸나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.214444,126.962222,37.213333,126.961389,스트로브잣나무,80,0.1,,스트로브잣나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.214444,126.962222,37.213333,126.961389,벚나무,19,0.1,,벚나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.219444,126.953611,37.217778,126.955556,산딸나무,12,0.03,,산딸나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
봉담택지보행자도로,37.219444,126.953611,37.217778,126.955556,벚나무,6,0.03,,벚나무,봉담택지보행자도로,,봉담택지보행자도로,031-369-6125,화성시청 산림녹지과,2019-04-02
원당로,37.02572958,127.2834482,37.02572958,127.2834482,산벚나무,240,3.7,,원당로,,,반제리~독정저수지,031-678-5392,경기도 안성시청,2019-03-31
지문로,37.02572958,127.2834482,37.02572958,127.2834482,산벚나무,75,2,,지문로,,,상지문~하지문,031-678-5392,경기도 안성시청,2019-03-31
청원로,37.02572958,127.2834482,37.02572958,127.2834482,산벚나무,244,1.1,,청원로,,,원곡일반산업단지~하가천삼거리,031-678-5392,경기도 안성시청,2019-03-31
가천중앙1길,37.02572958,127.2834482,37.02572958,127.2834482,이팝나무,140,1.7,,가천중앙1길,,,면사무소주변도로~면사무소주변도로,031-678-5392,경기도 안성시청,2019-03-31
만세로,37.02572958,127.2834482,37.02572958,127.2834482,이팝나무,334,4.5,2013,만세로,,,용소마을~평택경계,031-678-5392,경기도 안성시청,2019-03-31
일죽당촌길,37.02572958,127.2834482,37.02572958,127.2834482,벚나무,512,2.4,,일죽당촌길,,,당촌리일원~당촌리일원,031-678-5392,경기도 안성시청,2019-03-31
오방길,37.02572958,127.2834482,37.02572958,127.2834482,은행나무,494,5,,오방길,,,방초리~이천경계,031-678-5392,경기도 안성시청,2019-03-31
농로305호선,37.02572958,127.2834482,37.02572958,127.2834482,단풍나무,380,1.6,2005,농로305호선,,,청미천변~청미천변,031-678-5392,경기도 안성시청,2019-03-31
농로307호선,37.02572958,127.2834482,37.02572958,127.2834482,벚나무,1388,3,,농로307호선,,,청미천변~청미천변,031-678-5392,경기도 안성시청,2019-03-31
서동대로,37.02572958,127.2834482,37.02572958,127.2834482,이팝나무,240,2,2012,서동대로,,,일죽IC~청미교,031-678-5392,경기도 안성시청,2019-03-31
평촌길,37.02572958,127.2834482,37.02572958,127.2834482,소나무,250,1.5,2015,평촌길,,,화곡리 청미천~죽화교,031-678-5392,경기도 안성시청,2019-03-31
용설로,37.02572958,127.2834482,37.02572958,127.2834482,왕벚나무,342,4,,용설로,,,남산마을~거곡마을,031-678-5392,경기도 안성시청,2019-03-31
장암로,37.02572958,127.2834482,37.02572958,127.2834482,이팝나무,359,2.1,2005,장암로,,,용설교~종배마을,031-678-5392,경기도 안성시청,2019-03-31
용설호수길,37.02572958,127.2834482,37.02572958,127.2834482,벚나무,133,2.5,,용설호수길,,,용설저수지주변~용설저수지주변,031-678-5392,경기도 안성시청,2019-03-31
걸미로,37.02572958,127.2834482,37.02572958,127.2834482,은행나무,163,3.7,,걸미로,,,죽산나들목~칠장사입구,031-678-5392,경기도 안성시청,2019-03-31
칠장로,37.02572958,127.2834482,37.02572958,127.2834482,단풍나무,386,2.5,2003,칠장로,,,칠장사입구~칠장리,031-678-5392,경기도 안성시청,2019-03-31
죽산초교길,37.02572958,127.2834482,37.02572958,127.2834482,왕벚나무,205,1.2,,죽산초교길,,,죽산중~죽산초,031-678-5392,경기도 안성시청,2019-03-31
관음당길,37.02572958,127.2834482,37.02572958,127.2834482,은행나무,141,0.7,,관음당길,,,죽산시내~두원공대,031-678-5392,경기도 안성시청,2019-03-31
서동대로,37.02572958,127.2834482,37.02572958,127.2834482,메타세콰이어,600,5,2013,서동대로,,,주유소~두원공대,031-678-5392,경기도 안성시청,2019-03-31
서동대로,37.02572958,127.2834482,37.02572958,127.2834482,메타세콰이어,100,0.5,2014,서동대로,,,녹박재고개~주유소,031-678-5392,경기도 안성시청,2019-03-31
국사봉로,37.02572958,127.2834482,37.02572958,127.2834482,산벚나무,243,1.7,,국사봉로,,,쌍미륵사입구~회암부락,031-678-5392,경기도 안성시청,2019-03-31
삼죽로,37.02572958,127.2834482,37.02572958,127.2834482,산벚나무,508,3.6,,삼죽로,,,삼죽면사무소~덕산저수지,031-678-5392,경기도 안성시청,2019-03-31
삼백로,37.02572958,127.2834482,37.02572958,127.2834482,단풍나무,332,3,,삼백로,,,덕산산업단지~용인경계,031-678-5392,경기도 안성시청,2019-03-31
용내길,37.02572958,127.2834482,37.02572958,127.2834482,단풍나무,113,1.6,,용내길,,,삼죽농협~용월리,031-678-5392,경기도 안성시청,2019-03-31
텃골길,37.02572958,127.2834482,37.02572958,127.2834482,왕벚나무,120,1.5,2008,텃골길,,,마전리~마전리,031-678-5392,경기도 안성시청,2019-03-31
서동대로,37.02572958,127.2834482,37.02572958,127.2834482,회화나무,107,2,2013,서동대로,,,동아방송대~녹박재고개,031-678-5392,경기도 안성시청,2019-03-31
국사봉로,37.02572958,127.2834482,37.02572958,127.2834482,산딸나무,363,2.5,2017,국사봉로,,,기솔리 365-5번지~기솔리 122번지,031-678-5392,경기도 안성시청,2019-03-31
고삼호수로,37.02572958,127.2834482,37.02572958,127.2834482,이팝나무,379,3.3,,고삼호수로,,,고삼교~당산교,031-678-5392,경기도 안성시청,2019-03-31
안성맞춤대로,37.02572958,127.2834482,37.02572958,127.2834482,산벚나무,138,2,,안성맞춤대로,,,면소재지~양성노곡1교,031-678-5392,경기도 안성시청,2019-03-31
고삼호수로,37.02572958,127.2834482,37.02572958,127.2834482,산벚나무,335,5,,고삼호수로,,,면소재지~치재동,031-678-5392,경기도 안성시청,2019-03-31
쌍지길,37.02572958,127.2834482,37.02572958,127.2834482,복자기,204,1.6,,쌍지길,,,봉지곡~쌍지리,031-678-5392,경기도 안성시청,2019-03-31
삼은길,37.02572958,127.2834482,37.02572958,127.2834482,산벚나무,228,3,,삼은길,,,당산교~화산마을,031-678-5392,경기도 안성시청,2019-03-31
삼은길,37.02572958,127.2834482,37.02572958,127.2834482,왕벚나무,240,5.1,2017,삼은길,,,보개면 이전리 424~고삼면 봉산리 산70-2,031-678-5392,경기도 안성시청,2019-03-31
공단로,37.01288044,127.2500257,37.02014259,127.2441667,메타세콰이어,142,1,,공단로,,,공단사거리~변전소,031-678-5392,경기도 안성시청,2019-03-31
"공단 1,2로",37.01508449,127.2494309,37.01840964,127.2494208,은행나무,650,3,,"공단 1,2로",,,안성제1산업단지 내~안성제1산업단지 내,031-678-5392,경기도 안성시청,2019-03-31
"안성맞춤대로제2공단 1, 2, 3, 4, 5길",37.02572958,127.2834482,37.02572958,127.2834482,은행나무,1002,5.5,,"안성맞춤대로제2공단 1, 2, 3, 4, 5길",,,안성제2산업단지 내~안성제2산업단지 내,031-678-5392,경기도 안성시청,2019-03-31
서운로,37.02572958,127.2834482,37.02572958,127.2834482,벚나무,68,0.4,,서운로,,,안성제2산업단지 내~안성제2산업단지 내,031-678-5392,경기도 안성시청,2019-03-31
"제3공단 1, 2, 3길",37.02572958,127.2834482,37.02572958,127.2834482,중국단풍,523,2.7,,"제3공단 1, 2, 3길",,,안성제3산업단지 내~안성제3산업단지 내,031-678-5392,경기도 안성시청,2019-03-31
서동대로,37.01050997,127.2850628,37.02572958,127.2834482,백합나무,330,3,2005,서동대로,,,신터미널~마전초등학교,031-678-5392,경기도 안성시청,2019-03-31
마로니에길,37.737913,127.035359,37.738261,127.043159,칠엽수(마로니에),119,700,,시민로 명품 마로니에길,시민로,,시민로,031-828-4633,의정부시 공원녹지과,2019-04-01
신곡동 메타세쿼이아길,37.726699,127.053034,37.752484,127.075305,메타세쿼이아,417,2480,,"중랑천, 부용천변 메타세쿼이아길",장곡로,,장곡로,031-828-4633,의정부시 공원녹지과,2019-04-01
녹양동 메타세쿼이아길,37.761137,127.034527,37.761313,127.027071,메타세쿼이아,167,660,,녹양동 메타세쿼이아길,체육로,,체육로,031-828-4633,의정부시 공원녹지과,2019-04-01
벚나무길,37.756209,127.025461,37.761306,127.02706,왕벚나무,223,900,,녹양동 왕벚나무길,체육로,,체육로,031-828-4633,의정부시 공원녹지과,2019-04-01
이팝나무길,37.741891,127.100336,37.756906,127.113072,이팝나무,843,2170,2013,민락2지구 이팝나무길,"민락로,송양로 등",,"민락로,송양로 등",031-828-4633,의정부시 공원녹지과,2019-04-01
안골로 20번길,37.597096,127.133081,37.593721,127.134315,은행나무,70,0.8,1991,주택가내 은행나무 가로수길로 단풍이 아름다움,안골로 20번길,지방도,아차산로432번길~교문초교앞,031-550-2442,경기도 구리시청,2019-04-26
경춘로,37.601593,127.115582,37.603769,127.148219,은행나무,679,6.1,2007,"은행나무가로수길이며, 서울시계구간 가로띠녹지와 아차산 이어우러진 아름다운 길",경춘로,지방도,"경춘로, 시계~왕숙교",031-550-2442,경기도 구리시청,2019-04-26
장자대로1번길,37.587715,127.130608,37.591698,127.131761,버즘나무,30,0.45,1991,완충녹지내 식재된 버즘나무,장자대로1번길,지방도,구리경찰서앞 ~함흥냉면앞,031-550-2442,경기도 구리시청,2019-04-26
"한다리길, 한다리길4번길",37.581471,127.128897,37.583515,127.123221,왕벚나무,39,0.31,2014,왕벚꽃 경관이 아름다움,"한다리길, 한다리길4번길",지방도,백교입구~백교굿당,031-550-2442,경기도 구리시청,2019-04-26
아차산로487번길,37.598295,127.130023,37.597972,127.128393,이팝나무,14,0.2,2014,삼육고 통학로,아차산로487번길,지방도,삼육고앞교차로~삼육고입구,031-550-2442,경기도 구리시청,2019-04-26
아차산로,37.569226,127.119391,37.600411,127.130592,메타세콰이어+은행나무,1292,11.58,2006,"양옆으로 메타세콰이어가 식재되어있고, 아차산과 어우러짐.",아차산로,지방도,서울시계(아천동)~성신양회(동구동),031-550-2442,경기도 구리시청,2019-04-26
안골로,37.597096,127.131011,37.597776,127.143413,버즘나무+은행나무,111,2.28,1991,버즘나무와 은행나무 가로수길로 특히 은행나무의 수형이 좋음,안골로,지방도,세무서입구삼거리~수택사거리,031-550-2442,경기도 구리시청,2019-04-26
"아차산로432번길, 체육관로113번길",37.593432,127.131386,37.594775,127.137265,은행나무,98,1.1,1991,가을단풍이 아름다움,"아차산로432번길, 체육관로113번길",지방도,아차산로육교~체육관삼거리,031-550-2442,경기도 구리시청,2019-04-26
이문3길,37.592055,127.134529,37.593679,127.134315,은행나무,35,0.36,1991,가을단풍이 아름다움,이문안3로,지방도,안골로20번길~이문안로,031-550-2442,경기도 구리시청,2019-04-26
이문안로,37.591732,127.131515,37.590491,127.150312,버즘나무+느티나무,247,3,1991,여름철 버즘나무 그늘과 녹음이 풍부하여 편안합을 주는 경관,이문안로,지방도,정각사입구삼거리~수평사거리,031-550-2442,경기도 구리시청,2019-04-26
체육관로,37.584603,127.137931,37.597224,127.136729,버즘나무+느티나무,134,1.98,2002,여름철 버즘나무 그늘과 녹음이 풍부하여 편안합을 주는 경관,체육관로,지방도,세무서사거리~목양교회,031-550-2442,경기도 구리시청,2019-04-26
장자대로,37.587553,127.130635,37.586406,127.147602,왕벚나무,406,3.2,2002,왕벚꽃 경관이 아름다움,장자대로,지방도,도림사거리~벌말삼거리,031-550-2442,경기도 구리시청,2019-04-26
장자호수길,37.585428,127.134611,37.586686,127.145355,은행나무,206,1.8,2002,가을단풍이 아름다움,장자호수길,지방도,금호공원~토평도서관,031-550-2442,경기도 구리시청,2019-04-26
"검배로, 고산로",37.600845,127.141315,37.593713,127.167864,느티나무+은행나무+왕벚나무,325,5.4,1995,가을단풍이 아름다움,"검배로, 고산로",지방도,돌다리사거리~가운사거리,031-550-2442,경기도 구리시청,2019-04-26
벌말로,37.577006,127.145484,37.596501,127.151728,느티나무+왕벚나무,469,4.6,1995,가을단풍이 아름다움,벌말로,지방도,토평삼거리~왕숙교,031-550-2442,경기도 구리시청,2019-04-26
수택천로,37.599281,127.147275,37.598694,127.150794,은행나무,42,0.33,2000,가을단풍이 아름다움,수택천로,지방도,수택주공아파트 앞,031-550-2442,경기도 구리시청,2019-04-26
장자대로86번길,37.586452,127.137979,37.587515,127.140023,느티나무,53,0.35,2002,가을단풍이 아름다움,장자대로86번길,지방도,장자대로 86번길 54~84,031-550-2442,경기도 구리시청,2019-04-26
체육관로74번길,37.591103,127.138027,37.590066,127.143434,버즘나무,97,1.2,1991,여름철 버즘나무 그늘과 녹음이 풍부하여 편안합을 주는 경관,체육관로74번길,지방도,이문안로~ 토평중,031-550-2442,경기도 구리시청,2019-04-26
아치울길,37.573588,127.121955,37.575051,127.117728,왕벚나무,28,0.4,2006,왕벚꽃 경관이 아름다움,아치울길,지방도,국도43호선~아치울마을,031-550-2442,경기도 구리시청,2019-04-26
우미내길,37.562771,127.114853,37.562082,127.112879,왕벚나무,23,0.08,2006,왕벚꽃 경관이 아름다움,우미내길,지방도,국도43호선~우미내마을,031-550-2442,경기도 구리시청,2019-04-26
동구릉로136번길,37.610662,127.138381,37.611444,127.142458,왕벚나무,86,0.8,1996,왕벚꽃 경관이 아름다움,동구릉로136번길,지방도,도매시장사거리~농수산물시장,031-550-2442,경기도 구리시청,2019-04-26
동구릉로85번길,37.607708,127.133993,37.611411,127.131906,느티나무,44,0.1,1996,가을단풍이 아름다움,동구릉로85번길,지방도,동원베네스트앞~인창래미안,031-550-2442,경기도 구리시청,2019-04-26
북부간선도로,37.610458,127.118597,37.611061,127.130517,산딸나무,195,2,,가을 열매가 아름다움,북부간선도로,지방도,서울시계~인창1교,031-550-2442,경기도 구리시청,2019-04-26
응달말로,37.600675,127.135838,37.605477,127.134347,느티나무,84,1,,가을단풍이 아름다움,응달말로,지방도,중앙예식장~원진녹색병원,031-550-2442,경기도 구리시청,2019-04-26
건원대로,37.601211,127.141161,37.610331,127.138113,은행나무,141,1.1,1996,가을단풍이 아름다움,건원대로,지방도,돌다리사거리~도매시장사거리,031-550-2442,경기도 구리시청,2019-04-26
장미1길,37.610331,127.140441,37.602121,127.143338,왕벚나무,153,1.6,1996,왕벚꽃 경관이 아름다움,장미1길,지방도,주공1단지~롯데백화점,031-550-2442,경기도 구리시청,2019-04-26
구리광장 길,37.603811,127.142404,37.604729,127.146235,중국단풍,40,0.72,1996,가을단풍이 아름다움,구리광장 길,지방도,구리역~인창고앞,031-550-2442,경기도 구리시청,2019-04-26
인창1로,37.604415,127.133124,37.609211,127.129712,왕벚나무,136,1.16,2010,왕벚꽃 경관이 아름다움,인창1로,지방도,인창삼거리~북부간선도로,031-550-2442,경기도 구리시청,2019-04-26
"장자대로111, 벌말로147번길",37.587201,127.143081,37.589666,127.149046,느티나무,135,1.34,2002,가을단풍이 아름다움,"장자대로111, 벌말로147번길",지방도,한일아파트~신명스카이뷰아파트,031-550-2442,경기도 구리시청,2019-04-26
검배로136번길,37.591983,127.150204,37.593838,127.152852,느티나무,53,0.66,2002,가을단풍이 아름다움,검배로136번길,지방도,구리여중학교~검배2삼거리,031-550-2442,경기도 구리시청,2019-04-26
장자1삼거리~면학길삼거리,37.587553,127.140913,37.591205,127.145462,느티나무,105,0.84,2002,가을단풍이 아름다움,장자1삼거리~면학길삼거리,지방도,장자1삼거리~면학길삼거리,031-550-2442,경기도 구리시청,2019-04-26
벌말로129번길,37.589547,127.145569,37.588263,127.147039,느티나무,11,0.15,2002,가을단풍이 아름다움,벌말로129번길,지방도,토평초교삼거리~토평중학교,031-550-2442,경기도 구리시청,2019-04-26
강변북로,37.573869,127.130592,37.579515,127.156663,백합나무,839,6.6,2004,목백합이 강변경관과 어우러짐,강변북로,지방도,아치울삼거리~수석교,031-550-2442,경기도 구리시청,2019-04-26
경춘북로,37.620691,127.106559,37.640879,127.126161,느티나무,758,6.08,2010,가을단풍이 아름다움,경춘북로,지방도,서울시계~갈매동사거리,031-550-2442,경기도 구리시청,2019-04-26
동구릉로,37.601134,127.130753,37.646044,127.140516,느티나무,464,4.5,2010,가을단풍이 아름다움,동구릉로,지방도,성신양회~퇴계원교,031-550-2442,경기도 구리시청,2019-04-26
동구릉로 459번길,37.638271,127.139411,37.636189,127.129101,이팝나무,191,2,2015,봄 이팝나무꽃이아름다움,동구릉로 459번길,지방도,국도43호선~노인요양시설,031-550-2442,경기도 구리시청,2019-04-26
동구릉로395번길,37.634082,127.140811,37.633258,127.139062,느티나무,31,0.26,2016,가을단풍이 아름다움,동구릉로395번길,지방도,국도43호선~중로1-1호선,031-550-2442,경기도 구리시청,2019-04-26
"건원대로76,34번길",37.607755,127.138971,37.604423,127.142147,중국단풍,262,2.5,1996,가을단풍이 아름다움,"건원대로76,34번길",지방도,삼보아파트입구~구리광장,031-550-2442,경기도 구리시청,2019-04-26
태재로,37.360802154,127.15003074,37.345504248,127.18502171,벚나무,,0.3,,벚나무가 식재되어 있어 봄꽃길을 선사함,,,e편한세상 3차아파트 진입부~종점부,,,2020-05-08
파발로,37.406347515,127.26232675,37.417883624,127.24835193,벚나무+은행나무+느티나무+백합나무,,2.2,,은행나무가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,,,경안제1교 서단~벌원교차로,,,2020-05-08
포돌이로,37.415034467,127.25092216,37.410736226,127.24100154,벚나무+메타세콰이아,,1.3,,벚나무가 식재되어 있어 봄꽃길을 선사함,,,공설운동장앞 교차로~광주경찰서,,,2020-05-08
하오개길,37.377611189,127.32257625,37.371202113,127.33329194,벚나무,,1.4,,벚나무가 식재되어 있어 봄꽃길을 선사함,,,동막골길 합류부~종점부,,,2020-05-08
행정타운로,37.426518394,127.25730472,37.426623457,127.24259277,이팝나무,,0.1,,양옆으로 이팝나무가 조성.,,,광주시청 입구~광주시청 내,,,2020-05-08
현산로,37.390242908,127.28399794,37.410032802,127.29032792,벚나무,,4.1,,벚나무가 식재되어 있어 봄꽃길을 선사함,,,도평리입구 교차로~경안천로 합류부,,,2020-05-08
저수지길,37.322700372,127.33566046,37.304817333,127.352648,벚나무+잣나무+소나무+향나무+느티나무,,2.7,,벚나무가 식재되어 있어 봄꽃길을 선사함,,,진우삼거리~종점부,,,2020-05-08
양벌로(양벌초등학교앞 도로),37.379693527,127.2551462,37.379308741,127.26422845,이팝나무,,0.2,,양옆으로 이팝나무가 조성.,,,오포농협 새터지점 앞~종점부,,,2020-05-08
송정로,37.41556081,127.26155874,37.419262783,127.25843822,느티나무+은행나무,,0.8,,은행나무가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,,,광주대로 합류부~보건소 앞 교차로,,,2020-05-08
순암로,37.394626859,127.24980354,37.417651769,127.18863653,은행나무+이팝나무+단풍나무,,6.9,,은행나무가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,,,장지사거리~갈마터널 앞,,,2020-05-08
신대길,37.353831798,127.33700094,37.370273688,127.33645013,벚나무,,2.1,,벚나무가 식재되어 있어 봄꽃길을 선사함,,,대석동길 합류부~종점부,,,2020-05-08
신만로,37.328289427,127.38972957,37.367308439,127.40418159,느티나무,,5.1,,양옆으로 느티나무가 조성,,,경충대로 합류부~만선로 합류부,,,2020-05-08
신현로,37.360532516,127.14761799,37.358328249,127.16071483,느티나무+단풍나무,,1.3,,단풍나무가 식재되어 있어 가을길을 선사함,,,광주시-성남시 경계~태재로 합류부,,,2020-05-08
양벌로,37.393911756,127.24929114,37.365993307,127.24460143,은행나무+벚나무+이팝나무,,3.8,,은행나무가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,,,장지사거리~양벌삼거리,,,2020-05-08
양벌로353번길,37.367944642,127.24538349,37.365729096,127.24839736,느티나무,,0.4,,느티나무가 식재되어 있어 가로경관을 더욱 향상 시킴.,,,양벌로 합류부~종점부,,,2020-05-08
얼음골길19번길,37.329415813,127.30616104,37.327139936,127.30837099,은행나무+루브라참나무+느티나무,,0.5,,은행나무가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,,,얼음골길 합류부~도척면 도척윗로 370-8앞,,,2020-05-08
엄미길,37.47605441,127.24086274,37.475092566,127.21632717,벚나무+단풍나무+느티나무,,2.4,,단풍나무가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,,,엄미리계곡 삼거리~엄미길236,,,2020-05-08
역동로34번길,37.408047285,127.25747546,37.40482118,127.25743947,느티나무,,0.3,,느티나무가 식재되어 있어 가로경관을 더욱 향상 시킴.,,,중앙로 합류부~역동로합류부,,,2020-05-08
오포로,37.34408527,127.17788152,37.373214977,127.2353837,벚나무+은행나무+느티나무+메타세쿼이아,,8.2,,벚나무가 식재되어 있어 봄꽃길을 선사함,,,능평교~포은대로 합류부,,,2020-05-08
